course,A,B,C,D,F,total,gpa,Q,professor,semester,year,college,department
CHEN-433,9,3,0,0,1,13,3.461,0,PEHLIVAN H ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-433,17,2,0,0,0,19,3.894,0,PEHLIVAN H ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-433,15,0,1,0,0,16,3.875,0,PEHLIVAN H ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-433,6,3,0,0,0,9,3.666,0,BLIZZARD G ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-455,29,11,10,2,0,52,3.288,1,WANG Q ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-459,14,0,0,0,0,14,4.000,0,BLIZZARD G ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-461,58,32,3,1,0,94,3.563,0,REEVES G ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-461,8,9,6,0,0,23,3.086,2,HU Y ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-468,83,6,0,0,0,89,3.932,0,SENTMANAT M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-471,3,1,1,0,0,5,3.400,0,SUN Q ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-473,3,2,0,0,0,5,3.600,0,LUTKENHAUS J ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-481,24,0,0,0,0,24,4.000,0,AYDOGMUS T ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
